Gene	cluster
AT3G19030	2
AT5G51010	2
AT5G20410	2
AT3G48720	2
AT1G10020	2
AT4G31320	2
AT1G65490	2
AT1G65450	2
AT2G13810	2
AT4G13890	2
AT2G03370	2
AT1G21910	2
AT2G18150	2
AT1G61840	2
AT1G70090	2
AT1G08090	2
AT1G01190	2
AT4G01950	2
AT1G12460	2
AT4G35320	2
AT5G03120	2
AT2G23010	2
AT1G35140	2
AT2G23130	2
AT3G12110	2
AT5G43870	2
AT2G39250	2
AT5G01015	2
AT1G78230	2
AT5G37260	2
AT5G62220	2
AT2G47440	2
AT1G56600	2
AT3G05800	2
AT5G65800	2
AT3G27540	2
AT4G16563	2
AT2G17230	2
AT5G53500	2
AT2G23000	2
AT5G51460	2
AT5G62330	2
AT5G01360	2
AT5G07130	2
AT3G48460	2
AT5G20270	2
AT5G40380	2
AT1G29660	2
AT4G38400	2
AT5G20670	2
AT2G21100	2
AT4G14370	3
AT4G01026	3
AT5G60530	3
AT2G39980	3
AT1G19530	3
AT5G04310	3
AT3G11773	3
AT1G30700	3
AT3G15500	3
AT5G43290	3
AT1G65390	3
AT3G10450	3
AT4G15160	3
AT2G37130	3
AT1G03230	3
AT1G50060	3
AT1G79450	3
AT4G20830	3
AT3G47640	3
AT1G67270	3
AT1G56250	3
AT1G74790	3
AT5G45280	3
AT1G49030	3
AT2G45080	3
AT2G39530	3
AT3G47380	3
AT2G47140	3
AT1G73480	3
AT4G34180	3
AT1G56710	3
AT1G25275	3
AT1G62510	3
AT5G48530	3
AT5G57340	3
AT5G57785	3
AT5G43580	3
AT2G40180	3
AT1G21460	3
AT1G07390	3
AT4G20860	3
AT5G04340	3
AT5G13330	3
AT3G21351	3
AT5G17780	3
AT3G04420	3
AT5G61890	3
AT4G01670	3
AT5G20710	3
AT2G16060	3
AT5G13080	3
AT1G51820	3
AT1G22360	3
AT3G53180	3
AT5G49700	3
AT3G52450	3
AT5G60270	3
AT5G18310	3
AT4G24150	3
AT1G34540	3
AT3G03660	3
AT1G29290	3
AT2G01670	3
AT1G07040	3
AT1G13540	3
AT1G51913	3
AT4G18170	3
AT3G10985	3
AT3G02040	3
AT1G55510	3
AT3G51910	3
AT3G55240	3
AT1G33030	3
AT2G40000	3
AT5G02810	3
AT4G12350	3
AT1G75490	3
AT5G13820	3
AT5G19800	3
AT5G23510	3
AT1G29270	3
AT4G28350	3
AT2G38870	3
AT1G21670	3
AT5G65600	3
AT2G36080	3
AT5G25180	3
AT1G10990	3
AT3G04070	3
AT2G43510	3
AT5G66350	3
AT2G36690	3
AT2G44080	3
AT1G16150	3
AT4G26200	3
AT5G18065	3
AT5G58660	3
AT1G08315	3
AT4G38410	3
AT3G15340	3
AT1G09420	3
AT1G14890	3
AT1G04310	3
AT4G01240	3
AT2G44490	3
AT3G46280	3
AT5G63650	3
AT1G65730	3
AT3G01970	3
AT3G02210	3
AT1G22900	3
AT4G23190	3
AT3G23550	3
AT3G54150	3
AT1G65845	3
AT2G39518	3
AT2G17710	3
AT5G55930	3
AT4G36670	3
AT3G55150	3
AT5G19230	3
AT2G19810	3
AT3G22060	3
AT4G08410	3
AT4G18940	3
AT1G05675	3
AT3G46690	3
AT1G13530	3
AT1G14550	3
AT1G62380	3
AT5G44260	3
AT4G15350	3
AT3G26200	3
AT2G39200	3
AT2G02060	3
AT1G49405	3
AT1G18860	3
AT1G78460	3
AT5G61560	3
AT5G44572	3
AT3G05390	3
AT1G51850	3
AT5G64120	3
AT1G33910	3
AT1G19610	3
AT1G05300	3
AT1G69520	3
AT1G56240	3
AT1G30730	3
AT1G76930	3
AT2G22880	3
AT5G48540	3
AT3G14060	3
AT5G05600	3
AT2G30500	3
AT3G21330	3
AT4G22470	3
AT4G03460	3
AT5G40240	3
AT5G48175	3
AT1G54890	3
AT2G44370	3
AT4G01250	3
AT1G28580	3
AT4G37520	3
AT4G12480	3
AT3G22160	3
AT5G44910	3
AT4G28850	3
AT1G33790	3
AT2G29740	3
AT5G14920	3
AT3G23150	3
AT2G02010	3
AT4G02700	3
AT4G02330	3
AT1G70140	3
AT1G51620	3
AT5G55530	3
AT4G23210	3
AT5G52860	3
AT5G57540	3
AT3G60280	3
AT1G53130	3
AT1G05700	3
AT3G10720	3
AT1G66160	3
AT1G77380	3
AT2G30660	3
AT5G22410	3
AT4G22080	3
AT4G35480	3
AT1G74650	3
AT1G33612	3
AT1G24530	3
AT4G12470	3
AT3G49960	3
AT3G04320	3
AT1G64170	3
AT4G37870	3
AT4G15360	3
AT2G43620	3
AT3G20360	3
AT3G62280	3
AT2G35930	3
AT5G44585	3
AT5G36925	3
AT4G27730	3
AT5G39580	3
AT4G01700	3
AT3G27950	3
AT4G12500	3
AT1G58190	3
AT2G47550	3
AT4G23550	3
AT4G15236	3
AT3G22120	3
AT1G09530	3
AT1G74100	3
AT4G25820	3
AT5G57240	3
AT1G23560	3
AT1G21320	3
AT4G09430	3
AT2G18350	3
AT5G04960	3
AT5G35190	3
AT4G07960	3
AT3G20395	3
AT5G22310	3
AT1G02810	3
AT5G39760	3
AT5G03700	3
AT5G40590	3
AT1G07160	3
AT5G24900	3
AT1G65570	3
AT5G37590	3
AT2G43610	3
AT4G15370	3
AT3G59900	3
AT1G33540	3
AT3G19200	3
AT3G21090	3
AT2G41230	3
AT5G44578	3
AT3G45650	3
AT1G59940	3
AT5G40540	3
AT2G28570	3
AT1G56300	3
AT5G03310	3
AT1G21120	3
AT1G60060	3
AT2G38530	3
AT3G10120	3
AT5G02550	3
AT4G38140	3
AT5G50450	3
AT4G15975	3
AT5G60100	3
AT4G27400	3
AT1G68840	3
AT3G26290	3
AT4G36040	3
AT4G28290	3
AT1G14200	3
AT5G03230	3
AT2G02350	3
AT1G14540	3
AT1G59725	3
AT4G39580	3
AT4G23570	3
AT1G29730	3
AT3G09390	3
AT1G56010	3
AT5G05250	3
AT2G18050	3
AT1G68620	3
AT1G53708	3
AT4G36430	3
AT5G12330	3
AT3G48700	3
AT2G38940	3
AT1G13590	3
AT4G22070	3
AT1G12950	3
AT4G04450	3
AT3G21520	3
AT5G13490	3
AT5G06860	3
AT1G78850	3
AT1G02220	3
AT2G33710	3
AT1G17180	3
AT4G28040	3
AT5G38200	3
AT2G43590	3
AT3G26820	3
AT1G76470	3
AT2G05380	3
AT5G64750	3
AT1G65690	3
AT5G37440	3
AT5G10990	3
AT1G12740	3
AT1G48000	3
AT5G24030	3
AT3G02240	3
AT1G60960	3
AT3G45660	3
AT5G38700	3
AT2G32030	3
AT3G14620	3
AT3G19660	3
AT5G44390	3
AT2G25000	3
AT1G02360	3
AT3G25870	3
AT3G27660	3
AT2G26020	3
AT4G08990	3
AT4G01680	3
AT5G63090	3
AT5G57920	3
AT1G01453	3
AT4G25750	3
AT5G54190	3
AT2G39030	3
AT1G73890	3
AT4G18195	3
AT4G09500	3
AT2G38340	3
AT2G32270	4
AT2G41010	4
AT4G39890	4
AT2G26010	4
AT1G62440	4
AT4G34970	4
AT1G01660	4
AT4G18205	4
AT3G45140	4
AT5G45380	4
AT5G44820	4
AT4G18880	4
AT3G04720	4
AT4G23010	4
AT2G24600	4
AT5G11410	4
AT1G43160	4
AT5G52250	4
AT1G19380	4
AT1G51800	4
AT5G37600	4
AT2G40940	4
AT5G33290	4
AT5G25930	4
AT3G10710	4
AT4G09420	4
AT1G54970	4
AT4G21400	4
AT5G17680	4
AT5G56970	4
AT3G55130	4
AT2G03590	4
AT3G16770	4
AT4G25350	4
AT2G43140	4
AT5G60950	4
AT1G27020	4
AT3G16660	4
AT4G28420	4
AT1G25220	4
AT5G06630	4
AT5G57530	4
AT4G25220	4
AT3G04110	4
AT1G34520	4
AT4G23030	4
AT5G41680	4
AT5G06640	4
AT5G67400	4
AT4G02270	4
AT5G16340	4
AT4G15233	4
AT3G27650	4
AT5G59070	4
AT5G05500	4
AT3G62680	4
AT5G43440	4
AT1G53920	4
AT4G22513	4
AT2G02220	4
AT2G26440	4
AT1G63860	4
AT5G07100	4
AT4G01750	4
AT4G31800	4
AT2G05520	4
AT3G26500	4
AT1G12940	4
AT1G55450	4
AT3G21080	4
AT5G05190	4
AT1G12040	4
AT2G17740	4
AT4G12490	4
AT1G66920	4
AT4G16860	4
AT1G20620	4
AT1G30755	4
AT1G33610	4
AT2G38860	4
AT4G13390	4
AT5G38940	4
AT2G24980	4
AT3G01730	4
AT3G59880	4
AT1G72280	4
AT2G31230	4
AT3G60470	4
AT4G11910	4
AT2G36220	4
AT3G45290	4
AT1G34510	4
AT4G08770	4
AT2G20520	4
AT2G29000	4
AT1G18570	4
AT5G16080	4
AT3G54590	4
AT5G64110	4
AT4G23510	4
AT5G61520	4
AT2G39410	4
AT4G22517	4
AT2G28720	4
AT5G45780	4
AT4G30250	4
AT5G25350	4
AT1G30870	4
AT5G40860	4
AT4G22520	4
AT5G02760	4
AT4G20240	4
AT5G15120	4
AT4G27260	4
AT5G10300	4
AT5G64570	4
AT5G59790	4
AT1G48930	4
AT4G08400	4
AT1G70460	4
AT2G35990	4
AT1G02430	4
AT5G53980	4
AT4G31650	4
AT3G02790	4
AT5G63580	4
AT2G46860	4
AT3G18300	4
AT5G39610	4
AT1G21400	4
AT1G76410	4
AT4G03510	4
AT4G21920	4
AT5G43570	4
AT1G16160	4
AT2G39705	4
AT2G26530	4
AT3G47340	4
AT1G08630	4
AT4G36850	4
AT3G02550	4
AT5G21120	4
AT1G17990	4
AT4G31330	4
AT5G07450	4
AT3G48920	4
AT2G41905	4
AT2G17880	4
AT1G23020	4
AT2G38250	4
AT5G38780	4
AT3G10020	4
AT1G72060	4
AT1G80920	4
AT1G25560	4
AT2G15960	4
AT4G35770	4
AT4G27450	4
AT1G03090	4
AT5G51390	4
AT2G39400	4
AT2G15880	4
AT3G15450	4
AT5G16370	4
AT1G52800	4
AT2G32660	4
AT2G15890	4
AT5G57655	4
AT5G14470	4
AT3G47160	4
AT3G13450	4
AT1G05770	4
AT2G27690	4
AT4G27970	4
AT5G65158	4
AT4G33985	4
AT4G25190	4
AT2G38470	4
AT5G56960	4
AT1G28370	4
AT5G19890	4
AT4G23320	4
AT1G19180	4
AT1G22570	4
AT1G06160	4
AT1G14370	4
AT1G07630	4
AT4G21120	4
AT5G53110	4
AT4G03420	4
AT4G32650	4
AT5G40780	4
AT2G26560	4
AT2G35910	4
AT1G19540	4
AT1G16130	4
AT4G21680	4
AT1G33900	4
AT1G13480	4
AT3G50740	4
AT5G49520	4
AT1G61360	4
AT5G05530	4
AT1G27980	4
AT4G33150	4
AT3G06260	4
AT1G10070	4
AT5G57910	4
AT3G29034	4
AT1G18290	4
AT5G43450	4
AT4G19700	4
AT5G55090	4
AT5G41730	4
AT5G27230	4
AT4G27300	4
AT2G27150	4
AT1G36060	4
AT1G51790	4
AT5G57220	4
AT1G20900	4
AT5G66480	4
AT5G20480	4
AT4G20000	4
AT1G62810	4
AT3G18550	4
AT1G64660	4
AT4G28270	4
AT3G59700	4
AT3G26740	4
AT1G76560	4
AT5G49690	4
AT5G41761	4
AT5G05440	4
AT3G45130	4
AT3G15518	4
AT5G26270	4
AT5G01210	4
AT2G25470	4
AT2G28630	4
AT4G17500	4
AT5G02020	4
AT4G15280	4
AT5G43590	4
AT5G07440	4
AT5G18170	4
AT4G12290	4
AT1G49000	4
AT3G51890	4
AT5G01100	4
AT3G18950	4
AT1G69490	4
AT1G51440	5
AT5G06790	5
AT4G12970	5
AT5G24352	5
AT4G00960	5
AT1G15670	6
AT4G11890	6
AT1G24145	6
AT4G23230	6
AT5G38250	6
AT5G56870	6
AT3G29110	6
AT3G09790	6
AT1G29740	6
AT4G37770	6
AT2G31880	6
AT4G23170	6
AT1G73805	6
AT1G13470	6
AT1G21250	6
AT5G45000	6
AT5G25250	6
AT4G23220	6
AT5G44568	6
AT5G42530	6
AT3G56710	6
AT2G31865	6
AT2G25440	6
AT5G67310	6
AT5G44990	6
AT5G47850	6
AT5G52750	6
AT1G24140	6
AT1G69720	6
AT5G41750	6
AT5G20230	6
AT1G79680	6
AT4G16960	6
AT4G18250	6
AT4G38560	6
AT3G09830	6
AT1G34420	6
AT4G22305	6
AT2G44110	6
AT4G32810	6
AT1G23850	6
AT3G51450	6
AT2G37440	6
AT1G56120	6
AT3G13950	6
AT2G45360	6
AT4G04490	6
AT1G35710	6
AT4G26050	6
AT4G23310	6
AT3G45060	6
AT1G20350	6
AT3G57240	6
AT1G33960	6
AT4G04510	6
AT1G35230	6
AT3G61280	6
AT1G74440	6
AT5G24530	6
AT4G03450	6
AT5G52760	6
AT3G23120	6
AT2G24850	6
AT1G24147	6
AT1G14880	6
AT3G45860	6
AT5G54610	6
AT3G22231	6
AT5G60900	6
AT2G14560	6
AT2G25510	6
AT3G22235	6
AT4G14400	6
AT3G23010	6
AT2G46440	6
AT2G37710	6
AT1G11920	6
AT1G02065	6
AT3G05660	6
AT5G46500	6
AT3G11402	6
AT2G29120	6
AT1G59950	6
AT3G23230	6
AT4G40090	6
AT2G41810	6
AT3G12710	6
AT5G22580	6
AT3G03470	6
AT1G76590	6
AT5G38340	6
AT3G50470	6
AT4G32870	6
AT1G19900	6
AT1G67980	6
AT3G19930	6
AT5G65690	6
AT3G57460	6
AT5G27420	6
AT1G65970	6
AT2G45220	6
AT3G26230	6
AT4G11170	6
AT5G39520	6
AT2G29720	6
AT5G47220	6
AT1G15040	6
AT5G48657	6
AT5G24210	6
AT2G02930	6
AT4G11470	6
AT3G21780	6
AT3G45640	6
AT2G15042	6
AT1G20510	6
AT4G23280	6
AT3G26210	6
AT4G02520	6
AT4G25110	6
AT4G39830	6
AT5G39030	6
AT4G14365	6
AT2G04495	6
AT1G66090	6
AT1G10340	6
AT3G26170	6
AT1G60110	6
AT3G51340	6
AT4G11000	6
AT2G44380	6
AT5G25260	6
AT4G08470	6
AT5G55450	6
AT1G30757	6
AT5G18470	6
AT5G35735	6
AT2G42850	6
AT3G28540	6
AT5G39020	6
AT3G28930	6
AT1G51890	6
AT5G54720	6
AT5G54710	6
AT1G02470	6
AT5G14930	6
AT2G20142	6
AT1G36622	6
AT4G23130	6
AT5G44420	6
AT4G15417	6
AT5G53550	6
AT3G11840	6
AT2G46430	6
AT4G34580	6
AT3G16530	6
AT4G33050	6
AT5G46260	6
AT3G25510	6
AT5G25440	6
AT1G65486	6
AT5G24110	6
AT5G24230	6
AT5G11250	6
AT1G50180	6
AT4G01010	6
AT4G08850	6
AT1G67520	6
AT1G02920	6
AT1G34180	6
AT3G01290	6
AT4G34380	6
AT2G15390	6
AT5G10695	6
AT4G23260	6
AT1G51270	6
AT1G59870	6
AT3G50480	6
AT1G65500	6
AT1G02930	6
AT2G23320	6
AT2G27660	6
AT1G09932	6
AT4G23810	6
AT1G51860	6
AT3G44400	6
AT2G18690	6
AT3G50950	6
AT3G51660	6
AT3G10300	6
AT3G19010	6
AT1G80840	6
AT2G41100	6
AT2G39690	6
AT2G33830	6
AT2G37820	6
AT4G25790	6
AT1G50050	6
AT2G32740	6
AT5G05320	6
AT5G64100	6
AT1G30720	6
AT5G05730	6
AT3G18250	6
AT1G72070	6
AT1G05250	6
AT1G63350	6
AT3G49620	6
AT5G66790	6
AT5G57625	6
AT5G42830	6
AT2G29100	6
AT4G20450	6
AT1G52200	6
AT3G15510	6
AT3G26220	6
AT1G28190	6
AT1G61420	6
AT5G05340	6
AT3G18830	6
AT2G39210	6
AT1G64400	6
AT1G13750	6
AT4G38550	6
AT3G15356	6
AT5G01540	6
AT1G60130	6
AT5G42440	6
AT1G16110	6
AT5G26340	6
AT1G29860	6
AT2G19190	6
AT4G31500	6
AT4G26120	6
AT1G61380	6
AT1G15125	6
AT3G50010	6
AT5G46050	6
AT1G26420	6
AT5G25910	6
AT5G48430	6
AT4G01720	6
AT4G31550	6
AT2G31110	6
AT2G15080	6
