Sample #	Bacteria	Treatment	Experiment	Group
MAE509	MF27	flg22plus	e3	MF27.flg22plus
MAE510	MF27	flg22plus	e3	MF27.flg22plus
MAE511	MF29	flg22minus	e3	MF29.flg22minus
MAE512	MF29	flg22minus	e3	MF29.flg22minus
MAE513	MF29	flg22minus	e3	MF29.flg22minus
MAE514	MF29	flg22plus	e3	MF29.flg22plus
MAE515	MF29	flg22plus	e3	MF29.flg22plus
MAE516	MF29	flg22plus	e3	MF29.flg22plus
MAE517	MF33	flg22minus	e3	MF33.flg22minus
MAE518	MF33	flg22minus	e3	MF33.flg22minus
MAE519	MF33	flg22minus	e3	MF33.flg22minus
MAE520	MF33	flg22plus	e3	MF33.flg22plus
MAE521	MF33	flg22plus	e3	MF33.flg22plus
MAE522	MF33	flg22plus	e3	MF33.flg22plus
MAE523	MF40	flg22minus	e3	MF40.flg22minus
MAE524	MF40	flg22minus	e3	MF40.flg22minus
MAE525	MF40	flg22minus	e3	MF40.flg22minus
MAE526	MF40	flg22plus	e3	MF40.flg22plus
MAE527	MF40	flg22plus	e3	MF40.flg22plus
MAE529	MF41	flg22minus	e3	MF41.flg22minus
MAE530	MF41	flg22minus	e3	MF41.flg22minus
MAE531	MF41	flg22minus	e3	MF41.flg22minus
MAE532	MF41	flg22plus	e3	MF41.flg22plus
MAE534	MF41	flg22plus	e3	MF41.flg22plus
MAE535	MF47	flg22minus	e3	MF47.flg22minus
MAE536	MF47	flg22minus	e3	MF47.flg22minus
MAE537	MF47	flg22minus	e3	MF47.flg22minus
MAE538	MF47	flg22plus	e3	MF47.flg22plus
MAE539	MF47	flg22plus	e3	MF47.flg22plus
MAE540	MF47	flg22plus	e3	MF47.flg22plus
MAE541	MF50	flg22minus	e3	MF50.flg22minus
MAE542	MF50	flg22minus	e3	MF50.flg22minus
MAE543	MF50	flg22minus	e3	MF50.flg22minus
MAE544	MF50	flg22plus	e3	MF50.flg22plus
MAE545	MF50	flg22plus	e3	MF50.flg22plus
MAE546	MF50	flg22plus	e3	MF50.flg22plus
MAE547	MF79	flg22minus	e3	MF79.flg22minus
MAE548	MF79	flg22minus	e3	MF79.flg22minus
MAE549	MF79	flg22minus	e3	MF79.flg22minus
MAE550	MF79	flg22plus	e3	MF79.flg22plus
MAE551	MF79	flg22plus	e3	MF79.flg22plus
MAE552	MF79	flg22plus	e3	MF79.flg22plus
MAE553	MF105	flg22minus	e3	MF105.flg22minus
MAE554	MF105	flg22minus	e3	MF105.flg22minus
MAE555	MF105	flg22minus	e3	MF105.flg22minus
MAE556	MF105	flg22plus	e3	MF105.flg22plus
MAE557	MF105	flg22plus	e3	MF105.flg22plus
MAE558	MF105	flg22plus	e3	MF105.flg22plus
MAE559	MF109	flg22minus	e3	MF109.flg22minus
MAE560	MF109	flg22minus	e3	MF109.flg22minus
MAE561	MF109	flg22minus	e3	MF109.flg22minus
MAE562	MF109	flg22plus	e3	MF109.flg22plus
MAE563	MF109	flg22plus	e3	MF109.flg22plus
MAE564	MF109	flg22plus	e3	MF109.flg22plus
MAE565	MF125	flg22minus	e3	MF125.flg22minus
MAE566	MF125	flg22minus	e3	MF125.flg22minus
MAE567	MF125	flg22minus	e3	MF125.flg22minus
MAE568	MF125	flg22plus	e3	MF125.flg22plus
MAE569	MF125	flg22plus	e3	MF125.flg22plus
MAE570	MF125	flg22plus	e3	MF125.flg22plus
MAE571	MF136	flg22minus	e3	MF136.flg22minus
MAE572	MF136	flg22minus	e3	MF136.flg22minus
MAE573	MF136	flg22minus	e3	MF136.flg22minus
MAE574	MF136	flg22plus	e3	MF136.flg22plus
MAE575	MF136	flg22plus	e3	MF136.flg22plus
MAE576	MF136	flg22plus	e3	MF136.flg22plus
MAE577	MF138	flg22minus	e3	MF138.flg22minus
MAE578	MF138	flg22minus	e3	MF138.flg22minus
