Sample #	Bacteria	Treatment	Experiment	Group
MAE174	MF374	flg22plus	e1	MF374.flg22plus
MAE175	MF376	flg22minus	e1	MF376.flg22minus
MAE176	MF376	flg22minus	e1	MF376.flg22minus
MAE177	MF376	flg22minus	e1	MF376.flg22minus
MAE178	MF376	flg22plus	e1	MF376.flg22plus
MAE179	MF376	flg22plus	e1	MF376.flg22plus
MAE180	MF376	flg22plus	e1	MF376.flg22plus
MAE181	cl14	flg22minus	e1	cl14.flg22minus
MAE182	cl14	flg22minus	e1	cl14.flg22minus
MAE183	cl14	flg22minus	e1	cl14.flg22minus
MAE184	cl14	flg22plus	e1	cl14.flg22plus
MAE185	cl14	flg22plus	e1	cl14.flg22plus
MAE186	cl14	flg22plus	e1	cl14.flg22plus
MAE187	cl18	flg22minus	e1	cl18.flg22minus
MAE188	cl18	flg22minus	e1	cl18.flg22minus
MAE189	cl18	flg22minus	e1	cl18.flg22minus
MAE190	cl18	flg22plus	e1	cl18.flg22plus
MAE191	cl18	flg22plus	e1	cl18.flg22plus
MAE192	cl18	flg22plus	e1	cl18.flg22plus
