,V1,V2
1,MF2,1105
2,MF8,353
3,MF27,762
4,MF29,352
5,MF33,587
6,MF40,109
7,MF41,1350
8,MF47,425
9,MF50,472
10,MF79,466
11,MF105,688
12,MF109,202
13,MF125,564
14,MF136,288
15,MF138,281
16,MF161,964
17,MF181,3954
18,MF273,775
19,MF299,124
20,MF302,149
21,MF303,558
22,MF314,372
23,MF327,421
24,MF339,168
25,MF345,324
26,MF360,126
27,MF362,329
28,MF370,72
29,MF374,464
30,MF376,239
31,cl14,109
32,cl18,43
33,cl21,450
34,cl69,202
35,e.coli,211
36,syncom,781
37,Hksyncom,4
