,genes,logFC,logCPM,LR,PValue,FDR
1,AT1G01010,-0.290271290040014,3.8390673687183,2.50465578010078,0.113510284261285,0.758829732530234
2,AT1G01020,0.329319754920806,3.67723319097405,2.34794174922819,0.125448545131337,0.774304043745167
3,AT1G01030,0.114411652142411,2.56052622864406,0.18178665670807,0.669842290861406,0.973709781661745
4,AT1G01040,-0.173558881009759,6.2054892275828,1.69498995246612,0.19294448761432,0.827607761084091
5,AT1G01050,-0.201779646048133,6.35451545520562,2.11386380940346,0.145970352059788,0.800627553251085
6,AT1G01060,-0.332151255070431,9.44256255250078,6.1931998240909,0.0128242102276185,0.400174493482352
7,AT1G01070,-0.106390140868327,4.61963311270556,0.173906342894327,0.676663197919729,0.974309881326991
9,AT1G01080,0.31335961040143,5.4443089392089,3.96646050817647,0.0464152404903133,0.613183941769017
10,AT1G01090,-0.11533157545067,7.69003737078685,0.803647631696581,0.370005020396778,0.914310636294072
11,AT1G01100,0.0287140442845223,7.2943960441541,0.0415664768601918,0.838448381364158,0.993016820836958
12,AT1G01110,-0.227422839799341,2.8416282550235,0.478397944064298,0.489148879625396,0.942906037830702
14,AT1G01120,0.213718541991893,7.01105877315426,0.53722762342575,0.463583965636435,0.934988534656328
15,AT1G01130,-0.266614078869456,1.31211883680612,0.273253961733278,0.601157292616515,0.963914189849573
16,AT1G01140,-0.054437942012415,5.9608852219695,0.0757639928372846,0.78312217942243,0.988888701209776
17,AT1G01150,-1.61260012100828,-0.937731925904352,0.827753428444177,0.362922954023429,0.912535551422055
18,AT1G01160,0.20527385879813,4.81845397232509,2.35321100566196,0.125025242135309,0.773663566181037
19,AT1G01170,0.143311649186638,4.69769712731964,0.941001292356877,0.33202046786141,0.899644542955076
20,AT1G01180,0.1814811033744,4.55404888828816,0.606053398158016,0.436277656930143,0.928981467793071
21,AT1G01190,-0.149962192096738,3.10742751807375,0.147285454835398,0.701143090295606,0.97655767855699
22,AT1G01200,0.0946328321224581,0.934721727732457,0.0345852648043063,0.852467393671809,0.994173297939416
23,AT1G01210,-0.0372890459826314,2.32011138295657,0.0122900385289952,0.911727011571857,0.998876601805887
24,AT1G01220,-0.0862259418134065,5.12963134974594,0.361338643055491,0.547763725776021,0.954286693156195
25,AT1G01225,-0.31703813846795,1.9507783645077,0.929266825299393,0.335053512555424,0.899836710196871
26,AT1G01230,0.190281727750749,4.18684200360965,1.18461750340074,0.27641796449104,0.872267397967043
27,AT1G01240,0.00967671828174207,5.60864157684067,0.00360240608213047,0.952139668008006,1
28,AT1G01250,1.11651724359031,0.608757830139615,4.23933397770866,0.0394976587938835,0.584786015640889
29,AT1G01260,-0.228024698754852,4.35823261372817,1.49231074468548,0.221858280617754,0.84537536660609
31,AT1G01290,0.13124905801097,3.33545980565849,0.272470050774835,0.601679633682166,0.963914189849573
32,AT1G01300,-0.125377683321476,5.37323179152617,0.71460431061138,0.397919516860369,0.918480472182791
35,AT1G01320,-0.0967637131879376,8.9807661034871,0.38711954207521,0.53381739198143,0.951505448240939
36,AT1G01340,0.151267101195855,4.76831052668849,0.329780163125005,0.56578856466766,0.957578017045367
