Library #	Bacteria	Tissue	Time	flg22	Experiment	Group
RST152	nb	Shoots	T1	flg22minus	e2	nb.Shoots.T1.flg22minus
RST153	nb	Shoots	T1	flg22minus	e2	nb.Shoots.T1.flg22minus
RST154	nb	Shoots	T1	flg22minus	e2	nb.Shoots.T1.flg22minus
RST155	nb	Shoots	T12	flg22minus	e2	nb.Shoots.T12.flg22minus
RST156	nb	Shoots	T12	flg22minus	e2	nb.Shoots.T12.flg22minus
RST158	hk	Shoots	T1	flg22minus	e2	hk.Shoots.T1.flg22minus
RST159	hk	Shoots	T1	flg22minus	e2	hk.Shoots.T1.flg22minus
RST160	hk	Shoots	T1	flg22minus	e2	hk.Shoots.T1.flg22minus
RST161	hk	Shoots	T12	flg22minus	e2	hk.Shoots.T12.flg22minus
RST162	hk	Shoots	T12	flg22minus	e2	hk.Shoots.T12.flg22minus
RST163	hk	Shoots	T12	flg22minus	e2	hk.Shoots.T12.flg22minus
RST164	syncom	Shoots	T1	flg22plus	e2	syncom.Shoots.T1.flg22plus
RST165	syncom	Shoots	T1	flg22plus	e2	syncom.Shoots.T1.flg22plus
RST166	syncom	Shoots	T1	flg22plus	e2	syncom.Shoots.T1.flg22plus
RST167	syncom	Shoots	T12	flg22plus	e2	syncom.Shoots.T12.flg22plus
RST168	syncom	Shoots	T12	flg22plus	e2	syncom.Shoots.T12.flg22plus
RST169	syncom	Shoots	T12	flg22plus	e2	syncom.Shoots.T12.flg22plus
RST170	nb	Shoots	T1	flg22plus	e2	nb.Shoots.T1.flg22plus
RST171	nb	Shoots	T1	flg22plus	e2	nb.Shoots.T1.flg22plus
RST172	nb	Shoots	T1	flg22plus	e2	nb.Shoots.T1.flg22plus
RST173	nb	Shoots	T12	flg22plus	e2	nb.Shoots.T12.flg22plus
RST174	nb	Shoots	T12	flg22plus	e2	nb.Shoots.T12.flg22plus
RST175	nb	Shoots	T12	flg22plus	e2	nb.Shoots.T12.flg22plus
RST177	hk	Shoots	T1	flg22plus	e2	hk.Shoots.T1.flg22plus
RST178	hk	Shoots	T1	flg22plus	e2	hk.Shoots.T1.flg22plus
RST179	hk	Shoots	T12	flg22plus	e2	hk.Shoots.T12.flg22plus
RST180	hk	Shoots	T12	flg22plus	e2	hk.Shoots.T12.flg22plus
RST181	hk	Shoots	T12	flg22plus	e2	hk.Shoots.T12.flg22plus
RST182	syncom	Shoots	T1	flg22minus	e3	syncom.Shoots.T1.flg22minus
RST183	syncom	Shoots	T1	flg22minus	e3	syncom.Shoots.T1.flg22minus
RST184	syncom	Shoots	T1	flg22minus	e3	syncom.Shoots.T1.flg22minus
RST185	syncom	Shoots	T12	flg22minus	e3	syncom.Shoots.T12.flg22minus
RST186	syncom	Shoots	T12	flg22minus	e3	syncom.Shoots.T12.flg22minus
RST187	syncom	Shoots	T12	flg22minus	e3	syncom.Shoots.T12.flg22minus
RST188	nb	Shoots	T1	flg22minus	e3	nb.Shoots.T1.flg22minus
RST189	nb	Shoots	T1	flg22minus	e3	nb.Shoots.T1.flg22minus
RST190	nb	Shoots	T1	flg22minus	e3	nb.Shoots.T1.flg22minus
RST191	nb	Shoots	T12	flg22minus	e3	nb.Shoots.T12.flg22minus
RST192	nb	Shoots	T12	flg22minus	e3	nb.Shoots.T12.flg22minus
RST193	nb	Shoots	T12	flg22minus	e3	nb.Shoots.T12.flg22minus
RST194	hk	Shoots	T1	flg22minus	e3	hk.Shoots.T1.flg22minus
RST195	hk	Shoots	T1	flg22minus	e3	hk.Shoots.T1.flg22minus
RST196	hk	Shoots	T1	flg22minus	e3	hk.Shoots.T1.flg22minus
RST197	hk	Shoots	T12	flg22minus	e3	hk.Shoots.T12.flg22minus
RST198	hk	Shoots	T12	flg22minus	e3	hk.Shoots.T12.flg22minus
RST199	hk	Shoots	T12	flg22minus	e3	hk.Shoots.T12.flg22minus
RST200	syncom	Shoots	T1	flg22plus	e3	syncom.Shoots.T1.flg22plus
RST201	syncom	Shoots	T1	flg22plus	e3	syncom.Shoots.T1.flg22plus
RST202	syncom	Shoots	T1	flg22plus	e3	syncom.Shoots.T1.flg22plus
RST203	syncom	Shoots	T12	flg22plus	e3	syncom.Shoots.T12.flg22plus
RST204	syncom	Shoots	T12	flg22plus	e3	syncom.Shoots.T12.flg22plus
RST205	syncom	Shoots	T12	flg22plus	e3	syncom.Shoots.T12.flg22plus
RST206	nb	Shoots	T1	flg22plus	e3	nb.Shoots.T1.flg22plus
RST207	nb	Shoots	T1	flg22plus	e3	nb.Shoots.T1.flg22plus
RST208	nb	Shoots	T1	flg22plus	e3	nb.Shoots.T1.flg22plus
RST209	nb	Shoots	T12	flg22plus	e3	nb.Shoots.T12.flg22plus
RST210	nb	Shoots	T12	flg22plus	e3	nb.Shoots.T12.flg22plus
RST211	nb	Shoots	T12	flg22plus	e3	nb.Shoots.T12.flg22plus
RST212	hk	Shoots	T1	flg22plus	e3	hk.Shoots.T1.flg22plus
RST213	hk	Shoots	T1	flg22plus	e3	hk.Shoots.T1.flg22plus
RST214	hk	Shoots	T1	flg22plus	e3	hk.Shoots.T1.flg22plus
RST215	hk	Shoots	T12	flg22plus	e3	hk.Shoots.T12.flg22plus
RST216	hk	Shoots	T12	flg22plus	e3	hk.Shoots.T12.flg22plus
RST217	hk	Shoots	T12	flg22plus	e3	hk.Shoots.T12.flg22plus
