,genes,logFC,logCPM,LR,PValue,FDR
1,AT1G01010,-0.11818559978088,3.84529383185591,0.794448914495131,0.372758252572688,0.797095137779302
2,AT1G01020,-0.0558025436004079,3.60696180640611,0.236832509248908,0.626503262257265,0.909300469436654
3,AT1G01030,0.292771702829279,2.30208393603769,3.35851687972183,0.0668582566323798,0.420047805510488
4,AT1G01040,-0.0297090517439314,6.27556078476663,0.139277568116491,0.709000266088952,0.93302592733191
5,AT1G01050,-0.0501914677637226,6.37527143972476,0.551393356552445,0.457748927690541,0.83997036050253
6,AT1G01060,-0.048077846075329,9.66226936657094,0.48569247602407,0.485855110370961,0.851146374694459
7,AT1G01070,0.0522751337668776,4.50518850208538,0.25923782831978,0.610644261022444,0.904238897786761
9,AT1G01080,-0.11662963588754,5.49058380779465,1.76255995500029,0.184305529932133,0.63674917357094
10,AT1G01090,0.0478235624749436,7.62311063316146,0.482427845136812,0.487324655803255,0.852294646919932
11,AT1G01100,-0.0790075618164773,7.37300471911793,0.602215629748081,0.437733909476585,0.831070187549539
12,AT1G01110,0.275064498265686,2.71853896094375,1.46916143308514,0.225478047278054,0.684898857178314
14,AT1G01120,-0.0734124936453367,7.31186727427066,0.244045828188003,0.621299154274031,0.907751959181707
15,AT1G01130,0.254407702599825,1.30378086228904,1.12736593293042,0.288337888301731,0.738935552962814
16,AT1G01140,-0.186718813459983,5.65616995488791,4.93815670058791,0.0262700377751117,0.261735238562191
17,AT1G01150,0.773192260505087,-1.14037379531261,1.3925505703724,0.237974841217655,0.698262230032296
18,AT1G01160,0.0999417759864542,4.71569999278025,1.33399471856555,0.248095794688435,0.705862669655098
19,AT1G01170,-0.0126142064341724,4.64644231175202,0.0169733975141888,0.896343326708365,0.977156915991052
20,AT1G01180,0.099227424500709,4.39725359558874,0.42472116276306,0.51459062730728,0.865493176225677
21,AT1G01190,0.120440136053923,3.53533400252248,0.2772384160568,0.598516995821925,0.899493980409546
22,AT1G01200,0.096452871861371,0.993387788547089,0.201089691920382,0.653842712117509,0.917205641488822
23,AT1G01210,-0.194304012687739,2.54311517248702,1.15179231065506,0.28317427034431,0.733110539086274
24,AT1G01220,0.100293848257784,5.15396454295279,1.624606086177,0.202450728834507,0.659125257556909
25,AT1G01225,-0.0680675166238129,1.78996697398935,0.153668614416242,0.695053865003648,0.929838125014071
26,AT1G01230,-0.132125343870096,4.12427342026714,1.22109978385192,0.269144926945661,0.722960378398512
27,AT1G01240,0.176352252058655,5.26533197851222,3.55876441742726,0.0592318130930285,0.397800847901367
28,AT1G01250,-0.612060511021342,0.518441031023192,3.06659835743963,0.0799165336187551,0.451219768034608
29,AT1G01260,-0.181510284223494,4.27022354021922,2.99010870396319,0.0837745446517611,0.459175692361665
31,AT1G01290,-0.309112390749893,3.47574366264539,6.75906601558818,0.00932725669457233,0.149431830173267
32,AT1G01300,-0.10186808542962,5.44752489299739,0.834237621260488,0.36105003184306,0.787922304905818
35,AT1G01320,-0.157178208856088,9.06704455294243,2.38680405673468,0.12236355995728,0.546447252482491
36,AT1G01340,-0.115429723653857,5.05067761543097,0.617945715001973,0.431811696981464,0.829305444048616
37,AT1G01350,-0.0665126923000116,3.96665725705864,0.504548419518835,0.477508374776311,0.847681677813119
38,AT1G01355,0.412603255031513,-0.810761326933646,0.627432563148552,0.428298633431942,0.828346202912484
39,AT1G01360,-0.0527057379894096,4.44123400380141,0.359010658792167,0.549056204283677,0.878753202296285
40,AT1G01370,-0.0875047682111897,1.85814999828532,0.177857997954776,0.673220542284529,0.924228727307867
