,genes,logFC,logCPM,LR,PValue,FDR
1,AT1G01010,-0.260237306285253,3.66822934074692,3.64465411932362,0.0562494863227658,0.677133935579961
2,AT1G01020,0.0316042281833941,3.84198865060932,0.0590840380839968,0.807949556398221,0.992902447005821
3,AT1G01030,-0.129634909667223,2.60019692286558,0.422502386064963,0.515691036024832,0.965123675133003
4,AT1G01040,-0.0220951808486973,6.07637121870035,0.0995957307513962,0.752315313301439,0.986932179731292
5,AT1G01050,0.0907576896438755,6.41670469501861,1.35315274215573,0.244727705521571,0.899379819937254
6,AT1G01060,-0.0764593810522384,9.63567100629064,0.697574515501671,0.403599894305517,0.949018967087601
7,AT1G01070,0.159271021736935,4.46361776261516,0.926429911783082,0.335792331778346,0.92976372271283
9,AT1G01080,-0.0429110840423717,5.51065535428137,0.173659967559145,0.676879353749451,0.976049289303275
10,AT1G01090,0.0357970330309919,7.77090622485921,0.199514433629519,0.655113066971638,0.974508652373645
11,AT1G01100,-0.0726731055858417,7.39408922425106,0.325631406222591,0.568242868476274,0.96892772286221
12,AT1G01110,0.278768093105405,2.63588935265653,2.16794011265426,0.140914877100582,0.839454443443073
14,AT1G01120,-0.156405177763043,7.52034880845335,0.626726623404508,0.428558558273597,0.953173840379061
15,AT1G01130,0.256904263569064,1.54652426128149,0.841711986722148,0.358907600400054,0.936392442067128
16,AT1G01140,0.219593271780141,5.86803876058015,2.81684301621878,0.0932797053458414,0.774531491058338
17,AT1G01150,2.30031810277001,-0.568765584503696,5.63811440793039,0.0175740978413113,0.491234294621236
18,AT1G01160,0.0634731163625414,4.744860119589,0.356338546829647,0.550546778424362,0.96825146882787
19,AT1G01170,0.265524038903404,4.66375325845651,5.10752966466455,0.0238222166279155,0.538387175154776
20,AT1G01180,0.104444276573654,4.67720073860234,0.269418128305908,0.60372236400284,0.972089197818959
21,AT1G01190,-0.215495794782268,2.46157993579684,1.19152636253082,0.275021886979407,0.908451772606755
22,AT1G01200,-0.715581624507189,1.34384895304669,4.34511094367684,0.0371153489832371,0.614501115350407
23,AT1G01210,0.216648462927163,2.47199176086835,1.27630890558855,0.258586461537939,0.906514170035861
24,AT1G01220,-0.0906811211114618,5.09311849650624,1.07514030168454,0.299787253094752,0.917753664281183
25,AT1G01225,0.281440336265579,1.87433993405035,1.15158446485687,0.283217711149478,0.909273399766436
26,AT1G01230,-0.0176742085901033,4.20437100570644,0.022972489336146,0.879528634960573,0.997462607398265
27,AT1G01240,0.154128737844432,5.46442223809869,2.5256951368578,0.112005412428258,0.805166530245468
28,AT1G01250,-0.00748496146326758,0.796348079401979,0.000478756096148558,0.982543283153415,1
29,AT1G01260,-0.113422047073943,4.21146434411771,1.01869296448478,0.312829242373377,0.922321687182483
31,AT1G01290,0.0830961082584783,3.50934214497832,0.286706241487831,0.592339021006954,0.971387789234946
32,AT1G01300,-0.116876293039913,5.42207826973797,1.03680518457309,0.308565667276763,0.920056100183434
35,AT1G01320,-0.107613803696587,9.02329213630678,1.63451096583847,0.201080252186274,0.886840063849733
36,AT1G01340,0.0672249372449216,4.81343091153106,0.28857991135278,0.591131996808424,0.971387789234946
37,AT1G01350,0.069596794923381,4.01553609622976,0.292287107751173,0.588758611961615,0.971387789234946
38,AT1G01355,0.31506795769893,-0.338227289378582,0.123670522412173,0.725087112264062,0.984714415386227
39,AT1G01360,0.100153536351482,4.40813091927574,0.884664328733598,0.346927331925586,0.933105224587501
40,AT1G01370,0.0625410803468782,1.59951940485434,0.032928386555465,0.85600511086251,0.99685135476219
41,AT1G01380,0.934407373326872,0.450138503022795,3.08377385580341,0.0790768452090093,0.744382789336496
42,AT1G01390,-0.299497508805542,3.0807778665096,3.49316583695853,0.0616226343512266,0.698574368512671
45,AT1G01420,-0.176828866847146,3.78638998648373,1.11713212329103,0.290536821053108,0.915093920045612
46,AT1G01430,0.0911326739267896,7.02697240539739,0.485708866444423,0.485847750889001,0.96282462313949
47,AT1G01440,0.0366067293812563,4.93317884312838,0.11684196082772,0.732485203197204,0.985433111877988
48,AT1G01450,0.136295094015265,3.99316382446358,1.02030561195534,0.312446528105541,0.921961774722063
49,AT1G01453,0.00481767541962092,1.17268837434686,0.000224026832327695,0.988058088037152,1
51,AT1G01470,0.251338091311954,4.92918480489034,4.40697951819904,0.0357921624587331,0.609956668383607
53,AT1G01480,0.243389484595011,0.84691478739754,0.311746410635305,0.576610490109352,0.969933172869736
54,AT1G01490,0.0696008272954386,6.27497662383007,0.501698094278877,0.478754943077807,0.960854941736111
55,AT1G01500,-0.36749197692607,2.82259345867735,4.05235883669503,0.0441096691056468,0.643623096284267
56,AT1G01510,0.0301206378602469,5.75738264045779,0.0931894710127157,0.760160899192701,0.987477841901224
57,AT1G01520,-0.383183619148547,3.47618397771409,4.53591458992962,0.0331907164175884,0.592358494387858
59,AT1G01540,0.0362870743159991,6.92423024174648,0.169967657569424,0.680140553015851,0.976049289303275
60,AT1G01550,0.0860466668497405,7.33235615996733,0.622979909329658,0.4299420838349,0.953608498990079
61,AT1G01560,-0.903067259601762,0.629818124768885,4.69126997764716,0.0303162327478029,0.580084971856658
62,AT1G01570,-0.196675257297718,1.77999025119952,0.532399945094161,0.465599616750789,0.957959438336406
