,V1,V2
1,MF2,554
2,MF8,54
3,MF27,125
4,MF29,100
5,MF33,317
6,MF40,19
7,MF41,17
8,MF47,86
9,MF50,54
10,MF79,15
11,MF105,18
12,MF109,9
13,MF125,272
14,MF136,3
15,MF138,70
16,MF161,24
17,MF181,0
18,MF273,15
19,MF299,15
20,MF302,20
21,MF303,2
22,MF314,0
23,MF327,4
24,MF339,0
25,MF345,16
26,MF360,63
27,MF362,6
28,MF370,4
29,MF374,0
30,MF376,0
31,cl14,41
32,cl18,0
33,cl21,232
34,cl69,242
35,e.coli,419
36,nb,428
37,syncom,0
38,Hksyncom,39
